ZONE I=5, J=5
0.5 0.166667 -0.629186
0.625 0.166667 -0.831111
0.75 0.166667 -0.958715
0.875 0.166667 -1.012
1 0.166667 -0.990958
0.5 0.208333 -0.457822
0.625 0.208333 -0.752113
0.75 0.208333 -0.937997
0.875 0.208333 -1.01547
1 0.208333 -0.984545
0.5 0.25 -0.265209
0.625 0.25 -0.65332
0.75 0.25 -0.901493
0.875 0.25 -1.00973
1 0.25 -0.978023
0.5 0.291667 -0.0513458
0.625 0.291667 -0.534733
0.75 0.291667 -0.849203
0.875 0.291667 -0.994756
1 0.291667 -0.971391
0.5 0.333333 0.183766
0.625 0.333333 -0.396352
0.75 0.333333 -0.781128
0.875 0.333333 -0.97056
1 0.333333 -0.96465
ZONE I=5, J=5
1 0.166667 -0.990958
1.125 0.166667 -0.995769
1.25 0.166667 -0.999031
1.375 0.166667 -1.00074
1.5 0.166667 -1.0009
1 0.208333 -0.984545
1.125 0.208333 -0.993539
1.25 0.208333 -0.99925
1.375 0.208333 -1.00168
1.5 0.208333 -1.00083
1 0.25 -0.978023
1.125 0.25 -0.991383
1.25 0.25 -0.999626
1.375 0.25 -1.00275
1.5 0.25 -1.00076
1 0.291667 -0.971391
1.125 0.291667 -0.989303
1.25 0.291667 -1.00016
1.375 0.291667 -1.00396
1.5 0.291667 -1.0007
1 0.333333 -0.96465
1.125 0.333333 -0.987299
1.25 0.333333 -1.00085
1.375 0.333333 -1.0053
1.5 0.333333 -1.00066
ZONE I=5, J=5
1.5 0.166667 -1.0009
1.625 0.166667 -1.00029
1.75 0.166667 -0.999898
1.875 0.166667 -0.999716
2 0.166667 -0.999748
1.5 0.208333 -1.00083
1.625 0.208333 -1.00025
1.75 0.208333 -0.999858
1.875 0.208333 -0.999647
2 0.208333 -0.999618
1.5 0.25 -1.00076
1.625 0.25 -1.00019
1.75 0.25 -0.999787
1.875 0.25 -0.999555
2 0.25 -0.999491
1.5 0.291667 -1.0007
1.625 0.291667 -1.00011
1.75 0.291667 -0.999687
1.875 0.291667 -0.99944
2 0.291667 -0.999366
1.5 0.333333 -1.00066
1.625 0.333333 -1.00001
1.75 0.333333 -0.999557
1.875 0.333333 -0.999302
2 0.333333 -0.999243
ZONE I=5, J=5
0 0.333333 0.99039
0.125 0.333333 1.01323
0.25 0.333333 0.886404
0.375 0.333333 0.609916
0.5 0.333333 0.183766
0 0.375 0.993483
0.125 0.375 1.0176
0.25 0.375 0.926221
0.375 0.375 0.719331
0.5 0.375 0.396936
0 0.416667 0.995812
0.125 0.416667 1.01896
0.25 0.416667 0.956074
0.375 0.416667 0.807162
0.5 0.416667 0.572222
0 0.458333 0.997377
0.125 0.458333 1.01729
0.25 0.458333 0.975963
0.375 0.458333 0.873409
0.5 0.458333 0.709623
0 0.5 0.998178
0.125 0.5 1.01259
0.25 0.5 0.985889
0.375 0.5 0.918071
0.5 0.5 0.809139
ZONE I=5, J=5
0.5 0.333333 0.183766
0.625 0.333333 -0.396352
0.75 0.333333 -0.781128
0.875 0.333333 -0.97056
1 0.333333 -0.96465
0.5 0.375 0.396936
0.625 0.375 -0.24651
0.75 0.375 -0.687127
0.875 0.375 -0.924915
1 0.375 -0.959874
0.5 0.416667 0.572222
0.625 0.416667 -0.0905867
0.75 0.416667 -0.565441
0.875 0.416667 -0.852342
1 0.416667 -0.951289
0.5 0.458333 0.709623
0.625 0.458333 0.0714165
0.75 0.458333 -0.416072
0.875 0.458333 -0.752842
1 0.458333 -0.938895
0.5 0.5 0.809139
0.625 0.5 0.2395
0.75 0.5 -0.239018
0.875 0.5 -0.626416
1 0.5 -0.922693
ZONE I=5, J=5
1 0.333333 -0.96465
1.125 0.333333 -0.987299
1.25 0.333333 -1.00085
1.375 0.333333 -1.0053
1.5 0.333333 -1.00066
1 0.375 -0.959874
1.125 0.375 -0.986127
1.25 0.375 -1.00169
1.375 0.375 -1.00656
1.5 0.375 -1.00074
1 0.416667 -0.951289
1.125 0.416667 -0.983092
1.25 0.416667 -1.00193
1.375 0.416667 -1.0078
1.5 0.416667 -1.00071
1 0.458333 -0.938895
1.125 0.458333 -0.978193
1.25 0.458333 -1.00157
1.375 0.458333 -1.00902
1.5 0.458333 -1.00055
1 0.5 -0.922693
1.125 0.5 -0.971431
1.25 0.5 -1.00061
1.375 0.5 -1.01022
1.5 0.5 -1.00028
ZONE I=5, J=5
1.5 0.333333 -1.00066
1.625 0.333333 -1.00001
1.75 0.333333 -0.999557
1.875 0.333333 -0.999302
2 0.333333 -0.999243
1.5 0.375 -1.00074
1.625 0.375 -0.999922
1.75 0.375 -0.999381
1.875 0.375 -0.999122
2 0.375 -0.999143
1.5 0.416667 -1.00071
1.625 0.416667 -0.999739
1.75 0.416667 -0.999143
1.875 0.416667 -0.998922
2 0.416667 -0.999077
1.5 0.458333 -1.00055
1.625 0.458333 -0.999459
1.75 0.458333 -0.998842
1.875 0.458333 -0.998704
2 0.458333 -0.999043
1.5 0.5 -1.00028
1.625 0.5 -0.999084
1.75 0.5 -0.99848
1.875 0.5 -0.998466
2 0.5 -0.999043
ZONE I=5, J=5
0 0.5 0.998178
0.125 0.5 1.01259
0.25 0.5 0.985889
0.375 0.5 0.918071
0.5 0.5 0.809139
0 0.541667 0.998766
0.125 0.541667 1.01076
0.25 0.541667 0.992794
0.375 0.541667 0.944867
0.5 0.541667 0.866979
0 0.583333 0.999208
0.125 0.583333 1.00926
0.25 0.583333 0.997496
0.375 0.583333 0.963926
0.5 0.583333 0.908545
0 0.625 0.999504
0.125 0.625 1.00808
0.25 0.625 0.999996
0.375 0.625 0.975247
0.5 0.625 0.933835
0 0.666667 0.999656
0.125 0.666667 1.00723
0.25 0.666667 1.00029
0.375 0.666667 0.978832
0.5 0.666667 0.94285
ZONE I=5, J=5
0.5 0.5 0.809139
0.625 0.5 0.2395
0.75 0.5 -0.239018
0.875 0.5 -0.626416
1 0.5 -0.922693
0.5 0.541667 0.866979
0.625 0.541667 0.41021
0.75 0.541667 -0.0362057
0.875 0.541667 -0.472269
1 0.541667 -0.897979
0.5 0.583333 0.908545
0.625 0.583333 0.562472
0.75 0.583333 0.155174
0.875 0.583333 -0.313349
1 0.583333 -0.843096
0.5 0.625 0.933835
0.625 0.625 0.696284
0.75 0.625 0.33512
0.875 0.625 -0.149656
1 0.625 -0.758045
0.5 0.666667 0.94285
0.625 0.666667 0.811647
0.75 0.666667 0.503633
0.875 0.666667 0.0188087
1 0.666667 -0.642826
ZONE I=5, J=5
1 0.5 -0.922693
1.125 0.5 -0.971431
1.25 0.5 -1.00061
1.375 0.5 -1.01022
1.5 0.5 -1.00028
1 0.541667 -0.897979
1.125 0.541667 -0.960356
1.25 0.541667 -0.998144
1.375 0.541667 -1.01134
1.5 0.541667 -0.999947
1 0.583333 -0.843096
1.125 0.583333 -0.93513
1.25 0.583333 -0.991667
1.375 0.583333 -1.01271
1.5 0.583333 -0.998252
1 0.625 -0.758045
1.125 0.625 -0.895751
1.25 0.625 -0.981177
1.375 0.625 -1.01432
1.5 0.625 -0.995192
1 0.666667 -0.642826
1.125 0.666667 -0.842219
1.25 0.666667 -0.966674
1.375 0.666667 -1.01619
1.5 0.666667 -0.990769
ZONE I=5, J=5
1.5 0.5 -1.00028
1.625 0.5 -0.999084
1.75 0.5 -0.99848
1.875 0.5 -0.998466
2 0.5 -0.999043
1.5 0.541667 -0.999947
1.625 0.541667 -0.998548
1.75 0.541667 -0.997961
1.875 0.541667 -0.998185
2 0.541667 -0.999219
1.5 0.583333 -0.998252
1.625 0.583333 -0.997505
1.75 0.583333 -0.997437
1.875 0.583333 -0.998048
2 0.583333 -0.999337
1.5 0.625 -0.995192
1.625 0.625 -0.995953
1.75 0.625 -0.996907
1.875 0.625 -0.998055
2 0.625 -0.999397
1.5 0.666667 -0.990769
1.625 0.666667 -0.993892
1.75 0.666667 -0.996371
1.875 0.666667 -0.998207
2 0.666667 -0.999398
ZONE I=5, J=5
0 0.666667 0.999656
0.125 0.666667 1.00723
0.25 0.666667 1.00029
0.375 0.666667 0.978832
0.5 0.666667 0.94285
0 0.708333 0.999767
0.125 0.708333 1.00601
0.25 0.708333 1.00007
0.375 0.708333 0.98197
0.5 0.708333 0.951692
0 0.75 0.99985
0.125 0.75 1.00482
0.25 0.75 0.999805
0.375 0.75 0.984816
0.5 0.75 0.959849
0 0.791667 0.999906
0.125 0.791667 1.00366
0.25 0.791667 0.999485
0.375 0.791667 0.98737
0.5 0.791667 0.967319
0 0.833333 0.999935
0.125 0.833333 1.00255
0.25 0.833333 0.999114
0.375 0.833333 0.989632
0.5 0.833333 0.974104
ZONE I=5, J=5
0.5 0.666667 0.94285
0.625 0.666667 0.811647
0.75 0.666667 0.503633
0.875 0.666667 0.0188087
1 0.666667 -0.642826
0.5 0.708333 0.951692
0.625 0.708333 0.891391
0.75 0.708333 0.634012
0.875 0.708333 0.179555
1 0.708333 -0.471979
0.5 0.75 0.959849
0.625 0.75 0.949749
0.75 0.75 0.739652
0.875 0.75 0.329558
1 0.75 -0.280534
0.5 0.791667 0.967319
0.625 0.791667 0.986722
0.75 0.791667 0.820554
0.875 0.791667 0.468816
1 0.791667 -0.0684918
0.5 0.833333 0.974104
0.625 0.833333 1.00231
0.75 0.833333 0.876717
0.875 0.833333 0.59733
1 0.833333 0.164148
ZONE I=5, J=5
1 0.666667 -0.642826
1.125 0.666667 -0.842219
1.25 0.666667 -0.966674
1.375 0.666667 -1.01619
1.5 0.666667 -0.990769
1 0.708333 -0.471979
1.125 0.708333 -0.763439
1.25 0.708333 -0.945862
1.375 0.708333 -1.01925
1.5 0.708333 -0.983599
1 0.75 -0.280534
1.125 0.75 -0.665174
1.25 0.75 -0.909299
1.375 0.75 -1.01291
1.5 0.75 -0.976006
1 0.791667 -0.0684918
1.125 0.791667 -0.547424
1.25 0.791667 -0.856984
1.375 0.791667 -0.997172
1.5 0.791667 -0.967989
1 0.833333 0.164148
1.125 0.833333 -0.410189
1.25 0.833333 -0.788917
1.375 0.833333 -0.972037
1.5 0.833333 -0.959549
ZONE I=5, J=5
1.5 0.666667 -0.990769
1.625 0.666667 -0.993892
1.75 0.666667 -0.996371
1.875 0.666667 -0.998207
2 0.666667 -0.999398
1.5 0.708333 -0.983599
1.625 0.708333 -0.991038
1.75 0.708333 -0.996082
1.875 0.708333 -0.998734
2 0.708333 -0.998992
1.5 0.75 -0.976006
1.625 0.75 -0.98806
1.75 0.75 -0.995859
1.875 0.75 -0.999402
2 0.75 -0.99869
1.5 0.791667 -0.967989
1.625 0.791667 -0.98496
1.75 0.791667 -0.995701
1.875 0.791667 -1.00021
2 0.791667 -0.998492
1.5 0.833333 -0.959549
1.625 0.833333 -0.981737
1.75 0.833333 -0.995608
1.875 0.833333 -1.00116
2 0.833333 -0.998397
ZONE I=5, J=5
0 0.833333 0.999935
0.125 0.833333 1.00255
0.25 0.833333 0.999114
0.375 0.833333 0.989632
0.5 0.833333 0.974104
0 0.875 0.999956
0.125 0.875 1.00142
0.25 0.875 0.99896
0.375 0.875 0.992566
0.5 0.875 0.982241
0 0.916667 0.999972
0.125 0.916667 1.00064
0.25 0.916667 0.999031
0.375 0.916667 0.995139
0.5 0.916667 0.988966
0 0.958333 0.999982
0.125 0.958333 1.0002
0.25 0.958333 0.999328
0.375 0.958333 0.997353
0.5 0.958333 0.994278
0 1 0.999988
0.125 1 1.00011
0.25 1 0.99985
0.375 1 0.999206
0.5 1 0.998178
ZONE I=5, J=5
0.5 0.833333 0.974104
0.625 0.833333 1.00231
0.75 0.833333 0.876717
0.875 0.833333 0.59733
1 0.833333 0.164148
0.5 0.875 0.982241
0.625 0.875 1.00821
0.75 0.875 0.915548
0.875 0.875 0.704246
1 0.875 0.374307
0.5 0.916667 0.988966
0.625 0.916667 1.0119
0.75 0.916667 0.945377
0.875 0.916667 0.789387
1 0.916667 0.543934
0.5 0.958333 0.994278
0.625 0.958333 1.01338
0.75 0.958333 0.966203
0.875 0.958333 0.852753
1 0.958333 0.67303
0.5 1 0.998178
0.625 1 1.01264
0.75 1 0.978026
0.875 1 0.894345
1 1 0.761594
ZONE I=5, J=5
1 0.833333 0.164148
1.125 0.833333 -0.410189
1.25 0.833333 -0.788917
1.375 0.833333 -0.972037
1.5 0.833333 -0.959549
1 0.875 0.374307
1.125 0.875 -0.26184
1.25 0.875 -0.695036
1.375 0.875 -0.925282
1.5 0.875 -0.952578
1 0.916667 0.543934
1.125 0.916667 -0.108183
1.25 0.916667 -0.573076
1.375 0.916667 -0.850744
1.5 0.916667 -0.941187
1 0.958333 0.67303
1.125 0.958333 0.0507806
1.25 0.958333 -0.423037
1.375 0.958333 -0.748423
1.5 0.958333 -0.925378
1 1 0.761594
1.125 1 0.215052
1.25 1 -0.244919
1.375 1 -0.618319
1.5 1 -0.905148
ZONE I=5, J=5
1.5 0.833333 -0.959549
1.625 0.833333 -0.981737
1.75 0.833333 -0.995608
1.875 0.833333 -1.00116
2 0.833333 -0.998397
1.5 0.875 -0.952578
1.625 0.875 -0.979061
1.75 0.875 -0.995572
1.875 0.875 -1.00211
2 0.875 -0.998682
1.5 0.916667 -0.941187
1.625 0.916667 -0.97428
1.75 0.916667 -0.994936
1.875 0.916667 -1.00315
2 0.916667 -0.998933
1.5 0.958333 -0.925378
1.625 0.958333 -0.967397
1.75 0.958333 -0.993698
1.875 0.958333 -1.00428
2 0.958333 -0.999148
1.5 1 -0.905148
1.625 1 -0.958409
1.75 1 -0.99186
1.875 1 -1.0055
2 1 -0.999329
Output function undefined
Output function undefined
Output function undefined
Output function undefined
Output function undefined
Output function undefined
